Membership No  Date Joined  Active
    64674      2018-10-5    yes
    43685      2020-7-6     yes
    60196      2017-11-1    yes
    38032      2016-12-9    yes
    23017      2017-5-9     yes
    55633      2017-6-11    yes
    21731      2016-11-1    yes
    26733      2017-9-4     yes
    67190      2019-11-6    yes
    59349      2017-5-15    yes
    44309      2020-5-19    no
    39281      2019-7-5     no
    18738      2019-12-6    no
    73414      2015-7-23    no
    46692      2020-5-2     no
    95404      2019-1-18    no
    56738      2020-6-7     no
    80024      2017-12-25   no
    14456      2017-1-22    no
    79436      2015-6-19    no
    16260      2018-8-7     no
    76930      2016-4-6     no
    93492      2015-5-7     no
